Codigo,Descripcion,Nivel,Tipo,Grupo
1,Activo,1,Activo,Balance
1.1,Activo Corriente,2,Activo,Balance
1.1.1,Efectivo y Equivalentes,3,Activo,Balance
1.1.1.1,Caja,4,Activo,Balance
1.1.1.1.01,Caja General Soles,5,Activo,Balance
1.1.1.1.02,Caja General Dolares,5,Activo,Balance
1.1.1.2,Banco,4,Activo,Balance
1.1.1.2.01,BCP Cta Cte Soles,5,Activo,Balance
1.1.1.2.02,Scotiabank Cta Cte Dolares,5,Activo,Balance
1.1.2,Inversiones Financieras,3,Activo,Balance
1.1.3,Cuentas por Cobrar,3,Activo,Balance
1.1.3.1,Facturas por Cobrar,4,Activo,Balance
1.1.3.2,Letras por Cobrar,4,Activo,Balance
1.1.4,Existencias,3,Activo,Balance
1.1.4.1,Mercaderias,4,Activo,Balance
1.1.4.1.01,Mercaderias Manufacturadas,5,Activo,Balance
1.1.4.1.02,Mercaderias en Transito,5,Activo,Balance
1.1.4.2,Materias Primas,4,Activo,Balance
1.2,Activo No Corriente,2,Activo,Balance
1.2.1,Inmuebles,3,Activo,Balance
1.2.1.1,Terrenos,4,Activo,Balance
1.2.1.2,Edificios,4,Activo,Balance
1.2.2,Maquinaria y Equipo,3,Activo,Balance
1.2.3,Depreciacion Acumulada,3,Activo,Balance
2,Pasivo,1,Pasivo,Balance
2.1,Pasivo Corriente,2,Pasivo,Balance
2.1.1,Proveedores,3,Pasivo,Balance
2.1.2,Tributos por Pagar,3,Pasivo,Balance
2.1.3,Remuneraciones por Pagar,3,Pasivo,Balance
2.1.4,Prestamos Bancarios CP,3,Pasivo,Balance
2.2,Pasivo No Corriente,2,Pasivo,Balance
2.2.1,Prestamos Bancarios LP,3,Pasivo,Balance
3,Patrimonio,1,Patrimonio,Balance
3.1,Capital,2,Patrimonio,Balance
3.1.1,Capital Social,3,Patrimonio,Balance
3.2,Reservas,2,Patrimonio,Balance
3.2.1,Reserva Legal,3,Patrimonio,Balance
3.3,Resultados,2,Patrimonio,Balance
3.3.1,Resultados Acumulados,3,Patrimonio,Balance
3.3.2,Resultado del Ejercicio,3,Patrimonio,Balance
4,Ingresos,1,Ingreso,PyG
4.1,Ventas,2,Ingreso,PyG
4.1.1,Ventas Mercaderias,3,Ingreso,PyG
4.1.2,Prestacion Servicios,3,Ingreso,PyG
4.2,Otros Ingresos,2,Ingreso,PyG
5,Gastos,1,Gasto,PyG
5.1,Gastos Operativos,2,Gasto,PyG
5.1.1,Compras,3,Gasto,PyG
5.1.2,Servicios Publicos,3,Gasto,PyG
5.2,Gastos Administrativos,2,Gasto,PyG
5.2.1,Sueldos y Salarios,3,Gasto,PyG
5.2.2,Alquileres,3,Gasto,PyG
5.3,Gastos Financieros,2,Gasto,PyG
5.3.1,Intereses Prestamos,3,Gasto,PyG
6,Costos,1,Gasto,PyG
6.1,Costo de Ventas,2,Gasto,PyG
6.1.1,Costo Mercaderias Vendidas,3,Gasto,PyG
